CIP pIP419
CIP pIP417
CIP pIP421
CIP pIP964
CIP pIP1327
CIP MIP233
CIP MIP235
CIP MIP240
CIP MIP242
CIP pIP243
CIP pIP614
CIP pIP640
CIP pIP655
CIP pIP714
CIP pIP716
CIP pIP920
CIP pIP991
CIP pIP1015
CIP pIP1016
CIP pIP1075
CIP pIP1130
CIP pIP1328
CIP pIP1438
CIP pIP1507
CIP pIP55
CIP pIP113
CIP pIP162
CIP TP123
CIP pIP1547
CIP pIP1733
CIP pIP1725
CIP pIP71a
CIP MIP237
CIP MIP234
CIP MIP236
CIP MIP239
CIP MIP241
CIP MIP238
CIP pICC8
CIP pIP1017
CIP pIP1100/HB101
CIP pIP1129
CIP pIP1321
CIP pIP135
CIP pIP1440
CIP pIP1549
CIP pIP173
CIP pIP1732
CIP pIP501
CIP pIP639
CIP pIP646
CIP pIP686
CIP pIP717
CIP pIP955
CIP RSa
CIP TP116
CIP pIP112
CIP pIP16a
CIP pRK24
CIP MIP231
CIP MIP232
CIP pMG202

