Pacific Ocean
Bering Sea
Gulf of Alaska
Gulf of California
Sea of Okhotsk
Sea of Japan
Seto Inland Sea
East China Sea
South China Sea
Beibu Gulf
Sulu Sea
Celebes Sea
Bohol Sea
Philippine Sea
Flores Sea
Banda Sea
Arafura Sea
Tasman Sea
Yellow Sea
Bohai Sea
Coral Sea
Gulf of Carpentaria
Atlantic Ocean
Hudson Bay
James Bay
Baffin Bay init fam
Gulf of St. Lawrence
Caribbean Sea
Gulf of Mexico
Sargasso Sea
North Sea
Baltic Sea
Gulf of Bothnia
Irish Sea
Celtic Sea
English Channel
Mediterranean Sea
Adriatic Sea
Aegean Sea
Black Sea
Sea of Azov
Ionian Sea
Ligurian Sea
Mirtoon Sea
Tyrrhenian Sea
Gulf of Sidra
Sea of Marmara
Sea of Crete
Indian Ocean
Red Sea
Gulf of Aden
Persian Gulf
Gulf of Oman
Arabian Sea
Bay of Bengal
Gulf of Thailand
Java Sea
Timor Sea
Gulf of Kutch
Gulf of Khambhat
Arctic Ocean
Barents Sea
Kara Sea
Beaufort Sea
Amundsen Gulf
Greenland Sea
Chukchi Sea
Laptev Sea
East Siberian Sea
Antarctic Ocean
Amundsen Sea
Weddell Sea
Ross Sea
Great Australian Bight
Gulf St. Vincent
Spencer Gulf
