CIP111016T;4016;160311;03/03/16
CIP62-24;4016;160311;03/03/16
CIP106512T;34515;160325;03/03/16
CIP69-2;33415;160325;03/03/16
CIP106463T;2616 ;160311;03/03/16
CIP103350T;;160325;03/03/16
CIP110823T;;160311, 160322;03/03/16
CIP103706;2616 ;160311;03/03/16
CIP103027T;2616 ;160311;03/03/16
CIP103426T;1516 ;160325;03/03/16
CIP101047;2616 ;160325;03/03/16
CIP105827;713;160322;03/03/16
CIP105828;714;160322;03/03/16
CIP105826T;711;160322;03/03/16
CIP105831;741;160322;03/03/16
CIP105829T;740;160322;03/03/16
CIP103583;;160322;03/03/16
CIP81-62T;;160322;03/03/16
CIP105825;;160322;03/03/16
CIP106114T;;160322;03/03/16
CIP103585;;160322;03/03/16
CIP81-63T;;160322, 160401, 160405;03/03/16
CIP104364;;160322;03/03/16
CIP104987;;160322;03/03/16
CIP105824;712;160322, 160401, 160405, CIP105824_VL.tar;03/03/16
CIP79-29;1910;160415;07/04/16
CIP78-9;mhe;160415;07/04/16
CIP108654;9705;160419;07/04/16
CIP80-33;ehg;160419;07/04/16
CIP60-59;khd;160419;07/04/16
CIP78-8;mhe;160419;07/04/16
CIP108653;9605;160415;07/04/16
CIP60-58;ehg;160415;07/04/16
CIP108652;9505;160419, 160426, 160504;07/04/16
CIP104057;201;160415;07/04/16
CIP110777T;8316;160415;07/04/16
CIP108733T;8316;160415;07/04/16
CIP106468;801;160415;07/04/16
CIP111009T;2616;160415;07/04/16
CIP102830;33415;160426, 160504;07/04/16
CIP111013T;4016;160429, 160510;07/04/16
CIP111015T;4016;160429;07/04/16
CIP107999T;34515;160422;07/04/16
CIP111017T;4016;160415;07/04/16
CRBIP3-4523;36414 (B1);160513;21/04/16
CRBIP3-474;36414 (B2);160513;21/04/16
CIP104850T;;160510;21/04/16
CIP111012T;;160520;21/04/16
CIP111032;;160513, 160524;28/04/16
CIP111033;;160513;28/04/16
CIP111034;;160513, 160524;28/04/16
CIP111035;;160513;28/04/16
CIP111036;;160513;28/04/16
CIP111037;;160513;28/04/16
CIP111038;;160513;28/04/16
CIP111039;;160513;28/04/16
CIP111041;;160513;28/04/16
CIP111042;;160513, 160524;28/04/16
CIP111043;;160513;28/04/16
CIP111044;;160513;28/04/16
CIP111045;;160513, 160524;28/04/16
CIP111046;;160513;28/04/16
CIP111047;;160513;28/04/16
CIP111048;;160513;28/04/16
CIP111049;;160513, 160607;28/04/16
CIP111025;;160513;28/04/16
CIP110994;;160513;28/04/16
CIP110995;;160513;28/04/16
CIP111050T;;160513;28/04/16
CIP103999;;160610;28/04/16
CIP110492;;160603;28/04/16
CIP103177T;;160610;12/05/16
CIP52-145;4111;160610;12/05/16
CIP52-146;26511;160610;12/05/16
CIP110855;2915;160610;12/05/16
CIP103733;042;160610;12/05/16
CIP52-144;fib;160610;12/05/16
CIP53-153;349;160610;12/05/16
CIP52-211T;7214;160610;12/05/16
CIP52-213;25809;160610;12/05/16
CIP103582;;160610;12/05/16
CIP52-210T;dhe;160610;12/05/16
CIP81-95T;l91;160610;12/05/16
CIP78-64T;1108;160610, 160629;12/05/16
CIP103361T;23115;160610;12/05/16
CIP103235T;7215;160610;12/05/16
